ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
447632,16-25,male,majority,0-9y,university,middle class,0.6147395466940077,1.0,before 2015,0.0,0.0,10238,12000.0,sedan,0,0,0,1.0
462073,40-64,female,majority,0-9y,high school,upper class,0.7725922199928316,1.0,before 2015,0.0,1.0,10238,10000.0,sedan,0,0,0,0.0
505241,26-39,male,majority,0-9y,none,poverty,0.2849997121914649,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,1.0
539702,40-64,male,majority,20-29y,university,upper class,0.5557121773732416,1.0,after 2015,0.0,0.0,32765,13000.0,sedan,2,2,2,0.0
311880,16-25,male,majority,0-9y,none,poverty,0.3357969699282221,0.0,before 2015,0.0,0.0,32765,,sedan,0,0,0,1.0
545673,65+,male,majority,30y+,university,upper class,0.6167916312739175,1.0,after 2015,0.0,1.0,32765,14000.0,sedan,10,2,3,0.0
157866,16-25,female,minority,0-9y,high school,working class,0.5636837161034072,0.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,1.0
215613,26-39,female,majority,10-19y,high school,upper class,0.5444505055710364,1.0,after 2015,1.0,1.0,10238,8000.0,sedan,0,0,3,0.0
802707,26-39,male,majority,0-9y,none,working class,0.5667317403812019,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,1.0
752655,40-64,male,majority,20-29y,university,upper class,0.5079335015243901,1.0,before 2015,1.0,1.0,10238,9000.0,sports car,3,0,6,0.0
538225,16-25,female,majority,0-9y,none,poverty,0.3679435479917757,0.0,after 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,0.0
508867,40-64,male,minority,20-29y,university,upper class,0.5349072095995847,1.0,after 2015,0.0,1.0,32765,8000.0,sedan,6,1,1,0.0
151493,16-25,male,majority,0-9y,high school,working class,0.3517181900202916,0.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,1.0
636331,65+,female,majority,30y+,high school,upper class,0.4186462666783617,0.0,after 2015,1.0,0.0,10238,11000.0,sedan,7,1,3,0.0
119568,40-64,female,majority,20-29y,university,upper class,0.6046764589038505,1.0,before 2015,0.0,0.0,10238,12000.0,sedan,0,0,0,0.0
966958,40-64,male,majority,20-29y,high school,upper class,0.6882993049868759,1.0,after 2015,0.0,1.0,10238,14000.0,sedan,5,0,1,0.0
431795,65+,female,majority,30y+,high school,upper class,0.5173495976314954,1.0,after 2015,1.0,1.0,32765,6000.0,sedan,10,0,2,0.0
28555,26-39,male,majority,10-19y,university,upper class,,1.0,after 2015,1.0,1.0,10238,6000.0,sedan,3,0,1,0.0
133368,26-39,male,majority,10-19y,university,middle class,,1.0,after 2015,1.0,1.0,10238,12000.0,sedan,1,0,1,0.0
939798,40-64,female,majority,20-29y,high school,working class,0.420639455981065,1.0,before 2015,1.0,0.0,10238,13000.0,sedan,1,1,2,0.0
751596,40-64,female,majority,20-29y,university,upper class,0.7121946993934768,1.0,after 2015,1.0,1.0,10238,12000.0,sports car,0,0,2,0.0
619382,40-64,female,majority,20-29y,university,upper class,0.6674075473242187,1.0,before 2015,1.0,1.0,10238,10000.0,sports car,4,0,1,0.0
379940,26-39,male,majority,0-9y,university,upper class,,1.0,before 2015,0.0,0.0,32765,12000.0,sedan,0,0,0,1.0
609544,16-25,female,majority,0-9y,high school,working class,0.4528580085974892,0.0,before 2015,0.0,0.0,32765,16000.0,sedan,0,0,0,1.0
735929,16-25,male,majority,0-9y,high school,poverty,0.3448180556225356,0.0,before 2015,0.0,1.0,10238,10000.0,sedan,0,0,0,1.0
902646,26-39,female,majority,10-19y,high school,working class,0.5241410821408387,0.0,after 2015,1.0,1.0,10238,12000.0,sedan,2,0,1,0.0
323541,40-64,male,majority,20-29y,high school,middle class,0.505099201641905,0.0,before 2015,0.0,0.0,10238,18000.0,sedan,0,1,1,1.0
994450,40-64,male,majority,20-29y,university,upper class,0.7592246057233212,1.0,before 2015,1.0,1.0,32765,10000.0,sedan,8,2,1,1.0
649911,16-25,male,majority,0-9y,university,working class,0.5138717893886736,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,1.0
954538,40-64,female,majority,0-9y,high school,middle class,0.5948693351349871,1.0,after 2015,0.0,1.0,32765,11000.0,sedan,0,0,0,1.0
968669,65+,female,majority,30y+,university,upper class,0.4836380123288594,1.0,after 2015,1.0,1.0,32765,9000.0,sedan,4,1,2,0.0
712777,40-64,female,majority,20-29y,none,upper class,0.685731574404338,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,1,0,4,0.0
389792,65+,male,majority,0-9y,university,upper class,0.649820471216227,1.0,after 2015,1.0,1.0,32765,9000.0,sedan,0,0,0,1.0
899911,40-64,male,majority,10-19y,high school,upper class,0.5783885461834334,0.0,after 2015,1.0,1.0,32765,9000.0,sedan,1,0,2,0.0
936406,26-39,male,majority,0-9y,university,middle class,0.5363660064970701,1.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,1.0
287352,40-64,female,majority,10-19y,high school,upper class,0.6729865377227907,1.0,after 2015,0.0,1.0,10238,13000.0,sedan,0,0,1,0.0
915405,16-25,male,minority,0-9y,none,working class,0.485242391843809,1.0,after 2015,1.0,0.0,10238,11000.0,sedan,0,0,0,0.0
540542,65+,female,majority,30y+,high school,middle class,0.5185590908783487,1.0,before 2015,0.0,0.0,32765,13000.0,sedan,2,0,0,1.0
123644,65+,female,majority,10-19y,high school,upper class,0.7435175604250973,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,0,0,1,0.0
261354,26-39,female,majority,10-19y,university,upper class,0.6997710983149215,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,0.0
54485,16-25,male,majority,0-9y,high school,poverty,0.19362266071106,0.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,1.0
793998,16-25,male,majority,0-9y,none,poverty,0.3786146968242724,0.0,before 2015,0.0,1.0,10238,15000.0,sedan,0,0,0,1.0
423856,40-64,female,minority,0-9y,none,working class,0.3272417923694733,1.0,before 2015,1.0,1.0,10238,,sedan,0,0,0,0.0
309530,16-25,female,majority,0-9y,none,working class,0.3017461444213115,1.0,after 2015,1.0,0.0,10238,,sedan,0,0,0,0.0
716558,65+,female,majority,20-29y,university,middle class,,1.0,before 2015,1.0,1.0,10238,8000.0,sports car,4,0,3,0.0
550482,16-25,female,majority,0-9y,high school,working class,0.3549791231763877,1.0,after 2015,0.0,1.0,10238,9000.0,sedan,0,0,0,0.0
715393,65+,female,majority,0-9y,high school,working class,0.4533881137734935,0.0,before 2015,1.0,1.0,32765,5000.0,sedan,0,0,0,1.0
107578,16-25,female,majority,0-9y,high school,poverty,0.289760227971455,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,1.0
920333,26-39,male,majority,10-19y,university,working class,0.3680351400567729,0.0,before 2015,1.0,0.0,10238,,sedan,0,0,0,1.0
544240,40-64,male,majority,20-29y,high school,poverty,0.3022901934726792,0.0,before 2015,0.0,1.0,10238,12000.0,sedan,6,0,1,0.0
337080,65+,male,majority,30y+,university,upper class,0.6404227538536423,1.0,after 2015,1.0,1.0,10238,9000.0,sports car,3,0,7,0.0
453516,26-39,male,minority,0-9y,high school,poverty,0.286949142049306,0.0,before 2015,0.0,0.0,32765,11000.0,sedan,0,0,0,1.0
420787,65+,female,majority,10-19y,university,upper class,0.6687322499159413,1.0,before 2015,1.0,1.0,92101,10000.0,sedan,1,0,0,0.0
776090,26-39,male,majority,10-19y,high school,middle class,0.5564465612117491,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,1,1,1,0.0
168510,26-39,female,majority,10-19y,university,upper class,,0.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,1,0,0.0
313107,40-64,female,majority,0-9y,high school,middle class,0.6230862254029852,1.0,after 2015,0.0,1.0,10238,16000.0,sedan,0,0,0,0.0
432147,26-39,female,minority,10-19y,high school,middle class,0.6194834352092521,1.0,after 2015,1.0,1.0,10238,16000.0,sedan,0,0,0,0.0
187838,26-39,female,majority,0-9y,university,middle class,0.6394231234866508,0.0,before 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,1.0
657999,65+,male,majority,0-9y,high school,upper class,0.4871216304800666,0.0,before 2015,1.0,1.0,32765,7000.0,sedan,0,0,0,1.0
639084,26-39,male,majority,0-9y,university,upper class,0.6764783850579369,1.0,before 2015,0.0,1.0,32765,13000.0,sedan,0,0,0,0.0
263459,40-64,male,majority,0-9y,university,middle class,0.2911508701209556,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,1.0
604531,40-64,female,minority,20-29y,high school,working class,0.5169487326404102,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,0,0,6,0.0
133461,40-64,male,majority,20-29y,none,working class,0.4395658269891232,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,2,0,5,0.0
517332,26-39,male,majority,0-9y,high school,middle class,,1.0,before 2015,0.0,0.0,32765,11000.0,sedan,0,0,0,1.0
640219,26-39,male,majority,10-19y,none,poverty,0.4237378641698245,1.0,before 2015,0.0,0.0,10238,12000.0,sedan,1,0,2,0.0
852185,40-64,male,majority,0-9y,none,upper class,0.6999932295554315,1.0,after 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,1.0
322312,26-39,male,majority,0-9y,none,working class,0.3202152120672084,0.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,1.0
397215,16-25,male,majority,0-9y,high school,poverty,0.4202663705993406,1.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,1.0
905916,40-64,female,majority,0-9y,university,upper class,0.4553108506467289,1.0,after 2015,1.0,1.0,32765,5000.0,sedan,0,0,0,0.0
925647,40-64,male,majority,0-9y,high school,middle class,0.6127350251833245,1.0,before 2015,1.0,1.0,32765,13000.0,sedan,0,0,0,1.0
171568,40-64,female,majority,20-29y,high school,middle class,0.601822301869865,0.0,before 2015,0.0,1.0,10238,13000.0,sedan,1,0,2,0.0
78985,40-64,female,majority,20-29y,high school,upper class,0.7340414416940386,1.0,before 2015,1.0,1.0,10238,,sedan,2,0,1,0.0
920288,16-25,male,majority,0-9y,university,middle class,0.5731158598023448,1.0,before 2015,0.0,0.0,10238,14000.0,sports car,0,0,0,1.0
651213,26-39,male,majority,10-19y,high school,poverty,0.2307192677794806,1.0,before 2015,0.0,0.0,10238,17000.0,sedan,1,0,1,0.0
872398,16-25,female,majority,0-9y,university,middle class,0.430903335483273,1.0,before 2015,0.0,0.0,32765,13000.0,sedan,0,0,0,1.0
71738,65+,female,majority,30y+,university,upper class,0.6096020843551448,1.0,before 2015,0.0,1.0,10238,12000.0,sedan,2,1,3,0.0
66769,26-39,female,majority,10-19y,high school,upper class,,1.0,after 2015,1.0,1.0,10238,14000.0,sedan,0,0,0,0.0
434271,40-64,female,majority,20-29y,none,working class,,0.0,after 2015,0.0,1.0,32765,11000.0,sedan,2,1,2,0.0
359552,40-64,male,majority,0-9y,university,upper class,0.6622630915790513,0.0,after 2015,1.0,1.0,92101,10000.0,sedan,0,0,0,0.0
414428,26-39,female,majority,0-9y,none,poverty,0.4171474102529754,0.0,before 2015,0.0,1.0,32765,8000.0,sedan,0,0,0,1.0
659210,65+,female,majority,20-29y,high school,upper class,0.7008414313988571,1.0,after 2015,1.0,1.0,10238,,sedan,1,1,1,0.0
454701,65+,female,majority,30y+,high school,upper class,0.5354853053409482,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,2,1,2,0.0
103367,40-64,male,majority,20-29y,none,middle class,0.5972652576753138,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,4,1,2,0.0
256110,40-64,female,majority,0-9y,high school,upper class,0.5270890686072889,1.0,before 2015,0.0,1.0,32765,,sedan,0,0,0,1.0
511757,40-64,female,majority,10-19y,none,middle class,,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,2,0,1,0.0
136149,40-64,male,majority,0-9y,university,upper class,0.3564497918738667,1.0,before 2015,1.0,0.0,10238,11000.0,sedan,0,0,0,1.0
41547,65+,female,majority,30y+,university,upper class,0.4124185388649153,1.0,after 2015,0.0,1.0,10238,11000.0,sedan,1,1,4,0.0
883610,40-64,female,majority,0-9y,high school,upper class,,1.0,after 2015,1.0,0.0,10238,11000.0,sports car,0,0,0,0.0
834282,26-39,male,majority,10-19y,high school,working class,0.4592380021150925,0.0,before 2015,0.0,0.0,10238,14000.0,sedan,1,0,1,1.0
247819,16-25,male,minority,0-9y,none,poverty,0.3106877761171272,0.0,after 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,0.0
397558,26-39,female,majority,10-19y,university,upper class,0.8360481279708311,1.0,after 2015,1.0,1.0,32765,,sedan,0,1,0,0.0
792223,26-39,female,majority,10-19y,university,middle class,0.4346641920198879,1.0,before 2015,1.0,1.0,32765,,sports car,3,0,1,0.0
658421,16-25,female,majority,0-9y,none,working class,0.530699754687861,1.0,after 2015,0.0,0.0,10238,12000.0,sedan,0,0,0,0.0
341566,16-25,male,minority,0-9y,high school,poverty,0.3430873769883655,0.0,before 2015,0.0,0.0,92101,17000.0,sedan,0,0,0,1.0
154695,40-64,male,majority,0-9y,university,upper class,0.5176533639161799,1.0,before 2015,1.0,1.0,32765,10000.0,sedan,0,0,0,1.0
906950,40-64,male,minority,10-19y,university,upper class,0.5064086371116839,0.0,after 2015,1.0,1.0,10238,11000.0,sedan,3,0,2,0.0
738155,26-39,male,majority,10-19y,high school,working class,0.2976116302421179,0.0,before 2015,0.0,0.0,10238,12000.0,sedan,2,0,4,0.0
939330,26-39,female,majority,0-9y,none,working class,,1.0,before 2015,0.0,1.0,10238,8000.0,sedan,0,0,0,0.0
623545,40-64,male,majority,20-29y,high school,working class,0.4701261680539295,1.0,before 2015,0.0,0.0,10238,12000.0,sedan,6,0,4,0.0
227941,40-64,female,majority,20-29y,university,middle class,0.5660865838074837,1.0,before 2015,1.0,1.0,10238,14000.0,sedan,3,0,4,0.0
287790,26-39,female,minority,10-19y,high school,middle class,0.6238600356746651,1.0,before 2015,1.0,1.0,32765,,sedan,3,0,1,0.0
293784,16-25,female,majority,0-9y,none,poverty,0.2915583574585549,0.0,before 2015,0.0,0.0,10238,,sedan,0,0,0,1.0
379039,26-39,female,majority,10-19y,none,poverty,0.3288220420707868,1.0,before 2015,1.0,1.0,10238,14000.0,sedan,1,0,1,0.0
114334,40-64,male,majority,0-9y,none,upper class,0.6439910880215374,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,0.0
474190,65+,male,majority,30y+,university,upper class,0.6324917354132804,1.0,before 2015,0.0,1.0,32765,13000.0,sedan,10,0,2,0.0
641583,26-39,female,minority,10-19y,none,middle class,0.3492770679966008,1.0,after 2015,0.0,1.0,10238,13000.0,sedan,2,0,1,0.0
912492,40-64,female,majority,20-29y,university,upper class,0.5543731682324414,1.0,before 2015,0.0,1.0,32765,,sedan,4,1,2,0.0
515931,16-25,female,majority,0-9y,high school,poverty,0.419377648649498,0.0,before 2015,0.0,0.0,32765,10000.0,sedan,0,0,0,1.0
845655,65+,male,majority,30y+,university,upper class,0.6519123625904758,1.0,after 2015,1.0,1.0,10238,13000.0,sedan,5,1,6,0.0
88005,16-25,male,majority,0-9y,university,middle class,0.54128087074694,0.0,before 2015,1.0,1.0,10238,14000.0,sports car,0,0,0,1.0
795747,40-64,male,majority,20-29y,high school,working class,0.5595152009839386,1.0,before 2015,1.0,1.0,32765,10000.0,sedan,6,3,1,0.0
320444,26-39,male,majority,0-9y,none,poverty,0.3086490182004943,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0.0
608703,65+,female,majority,20-29y,none,upper class,0.7676325928262623,1.0,before 2015,1.0,1.0,10238,,sedan,1,0,0,0.0
278816,26-39,male,minority,10-19y,none,upper class,0.4696695415128295,1.0,before 2015,1.0,0.0,32765,8000.0,sedan,6,0,2,0.0
817262,26-39,female,minority,10-19y,university,upper class,0.7123509063293101,0.0,after 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,0.0
308296,16-25,female,majority,0-9y,high school,poverty,0.2850064669711417,0.0,before 2015,0.0,0.0,10238,,sedan,0,0,0,1.0
131420,26-39,male,majority,0-9y,high school,upper class,0.5628882788617214,1.0,before 2015,0.0,1.0,32765,8000.0,sedan,0,0,0,1.0
364211,26-39,female,majority,0-9y,high school,upper class,0.5984750968198154,1.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,1.0
114396,16-25,female,minority,0-9y,none,poverty,0.4395710203814109,0.0,before 2015,1.0,0.0,10238,,sedan,0,0,0,1.0
92996,16-25,female,majority,0-9y,university,middle class,0.522834109859868,1.0,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,1.0
934436,26-39,male,majority,10-19y,high school,working class,0.3987734843619067,1.0,before 2015,0.0,1.0,10238,10000.0,sedan,0,0,0,1.0
445253,16-25,female,majority,0-9y,university,middle class,0.5660004305873472,1.0,before 2015,0.0,1.0,32765,11000.0,sedan,0,0,0,1.0
255616,26-39,female,majority,10-19y,high school,middle class,0.6058083800020564,1.0,before 2015,0.0,1.0,32765,12000.0,sedan,2,0,0,1.0
489066,65+,male,minority,30y+,university,upper class,,1.0,before 2015,1.0,1.0,92101,9000.0,sedan,8,0,4,0.0
702423,26-39,male,majority,10-19y,university,working class,0.5485077614613438,0.0,before 2015,0.0,0.0,32765,13000.0,sedan,1,0,3,1.0
762097,40-64,male,majority,20-29y,university,upper class,0.5982141330124617,1.0,after 2015,0.0,1.0,32765,,sedan,7,2,1,0.0
10693,40-64,female,majority,20-29y,none,working class,0.3753440227515216,1.0,before 2015,1.0,1.0,21217,9000.0,sedan,4,0,2,1.0
41325,40-64,male,majority,20-29y,high school,poverty,0.1154024763653657,0.0,before 2015,0.0,0.0,32765,16000.0,sedan,2,0,0,1.0
780961,65+,female,majority,30y+,university,upper class,0.5345841472675092,1.0,after 2015,1.0,1.0,32765,12000.0,sedan,4,1,0,0.0
35060,65+,female,majority,0-9y,university,upper class,0.5495982093884995,0.0,after 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,1.0
540120,16-25,male,majority,0-9y,university,working class,0.4554049639762782,1.0,before 2015,0.0,0.0,32765,13000.0,sedan,0,0,0,1.0
123428,26-39,male,majority,0-9y,none,poverty,0.1922339121015746,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,1.0
144117,26-39,male,majority,0-9y,none,poverty,0.3856329585067835,0.0,after 2015,0.0,1.0,10238,13000.0,sedan,0,0,0,1.0
530893,26-39,female,majority,10-19y,university,upper class,0.6499302827542016,0.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,1,2,1.0
566713,40-64,female,minority,20-29y,none,middle class,,1.0,before 2015,0.0,1.0,10238,12000.0,sedan,0,0,3,0.0
360906,40-64,female,majority,0-9y,university,upper class,0.5058338435466339,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,0,0,0,1.0
436817,26-39,male,majority,10-19y,university,middle class,,0.0,before 2015,1.0,1.0,10238,12000.0,sedan,3,0,2,0.0
995010,26-39,male,majority,10-19y,none,working class,0.53999019786775,0.0,before 2015,0.0,0.0,10238,22000.0,sedan,0,0,0,1.0
738554,16-25,female,majority,0-9y,none,poverty,0.2284575219722873,1.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,0.0
297854,40-64,male,majority,20-29y,high school,upper class,0.6867141058386899,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,9,0,2,0.0
207471,16-25,male,majority,0-9y,none,working class,0.4615907343889217,0.0,after 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,1.0
81394,16-25,male,majority,0-9y,none,poverty,0.3136455846123201,1.0,before 2015,0.0,1.0,10238,13000.0,sedan,0,0,0,0.0
990555,40-64,male,majority,20-29y,high school,upper class,0.5734894955803178,1.0,after 2015,1.0,1.0,92101,9000.0,sedan,3,0,1,0.0
833902,16-25,female,majority,0-9y,university,poverty,0.3333790364733304,1.0,before 2015,0.0,0.0,10238,,sedan,0,0,0,0.0
191471,16-25,male,majority,0-9y,none,working class,0.2304479256816975,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,0.0
812159,65+,male,majority,30y+,high school,upper class,0.5523028069815071,0.0,after 2015,1.0,1.0,10238,13000.0,sedan,1,0,2,0.0
372351,65+,male,minority,10-19y,high school,upper class,0.6247510484897659,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,2,0,2,0.0
989339,26-39,female,majority,0-9y,high school,working class,0.5486144093569303,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,0.0
245523,40-64,female,majority,10-19y,none,working class,0.3315640659194958,1.0,before 2015,1.0,1.0,32765,12000.0,sedan,3,1,1,0.0
