LocalGov,StatDiv,ClaimNb,AccNb,KillInjNb,Pop,PopDens
Hawkesbury,D2,841,1810,1257,129250,0.001553
Wollondilly,D2,385,781,619,72250,0.000943
Wyong,D2,1326,2338,1542,246550,0.011036
Cessnock,D3,450,1073,789,126750,0.002154
Dungog,D3,66,201,122,19600,0.000291
Gloucester,D3,46,166,104,13650,0.000154
Greatlakes,D3,419,884,628,58850,0.000583
Lakemacquarie,D3,2315,3969,2520,472150,0.024575
Maitland,D3,508,907,494,134150,0.01142
Merriwa,D3,48,134,109,7200,6.8e-05
Murrurundi,D3,34,108,54,7050,9.5e-05
Muswellbrook,D3,261,476,374,44100,0.000428
Newcastle,D3,3314,5581,3209,403500,0.068973
Portstephens,D3,558,963,785,106150,0.00413
Scone,D3,86,264,168,27900,0.000232
Singleton,D3,308,947,528,50800,0.000345
Kiama,D4,255,444,293,40100,0.005163
Shellharbour,D4,467,878,608,134850,0.030569
Shoalhaven,D4,822,2069,1484,167700,0.001224
Wingecarribee,D4,514,1335,966,83500,0.001033
Wollongong,D4,3047,5423,3540,522250,0.025576
Ballina,D5,298,686,531,69500,0.004728
Byron,D5,220,590,464,52650,0.003088
Casino,D5,182,208,161,32050,0.011675
Kyogle,D5,61,285,198,28050,0.000261
Lismore,D5,411,1046,759,110650,0.002852
Richmondriver,D5,111,340,257,22350,0.000296
Tweed,D5,381,1196,812,130100,0.003318
Bellingen,D6,198,428,307,30000,0.000627
Coffsharbour,D6,552,1192,923,122750,0.004259
Copmanhurst,D6,28,104,110,11500,0.000122
Grafton,D6,278,416,320,49650,0.020117
Greatertaree,D6,703,1208,940,106400,0.000949
Hastings,D6,535,1245,977,119600,0.001063
Kempsey,D6,407,638,525,67200,0.000675
Maclean,D6,138,351,280,32600,0.00104
Nambucca,D6,193,425,367,41500,0.000925
Nymboida,D6,27,132,84,8450,5.5e-05
Ulmarra,D6,88,350,268,13600,0.00027
Armidale,D7,318,578,396,60800,0.059329
Barraba,D7,11,65,46,8300,9e-05
Bingara,D7,8,71,38,6900,8.2e-05
Dumaresq,D7,38,163,120,11050,8.7e-05
Gleninnes,D7,53,118,69,18450,0.009015
Gunnedah,D7,88,364,257,40200,0.000266
Guyra,D7,49,232,149,14300,0.000108
Inverell,D7,99,386,276,48000,0.000187
Manilla,D7,12,65,43,9850,0.000148
Moreeplains,D7,123,548,402,50900,9.5e-05
Narrabri,D7,125,486,370,47300,0.00012
Nundle,D7,10,69,31,3950,8.3e-05
Parry,D7,77,358,271,33800,0.000258
Quirindi,D7,43,171,112,16600,0.000181
Severn,D7,21,249,163,9300,5.6e-05
Tamworth,D7,382,755,463,100400,0.018097
Tenterfield,D7,64,365,262,19750,9.2e-05
Uralla,D7,61,173,125,16750,0.000174
Walcha,D7,42,169,133,10750,5.7e-05
Yallaroi,D7,9,89,65,11600,7.2e-05
Bogan,D9,56,112,112,10950,2.5e-05
Bourke,D9,44,131,127,13000,1e-05
Brewarrina,D9,26,71,74,7250,1.3e-05
Cobar,D9,41,150,113,17050,1.2e-05
Coolah,D9,44,196,119,12900,9e-05
Coonabarabran,D9,91,297,236,21750,9.7e-05
Coonamble,D9,40,139,109,17450,5.5e-05
Dubbo,D9,509,971,741,91650,0.00099
Gilgandra,D9,47,140,109,14700,0.000114
Mudgee,D9,143,474,343,44550,0.000268
Narromine,D9,59,160,127,19750,0.000125
Walgett,D8,70,214,177,22350,3.3e-05
Warren,D9,19,72,64,11300,3.5e-05
Wellington,D8,153,303,255,26900,0.000217
Bathurst,D9,483,753,507,74550,0.010382
Bland,D9,107,250,255,23250,9.1e-05
Blayney,D9,93,200,171,18250,0.000397
Cabonne,D9,135,506,428,38400,0.000213
Cowra,D9,122,392,282,35200,0.000419
Evans,D9,62,307,265,13700,0.000106
Forbes,D9,150,205,188,33000,0.000233
Greaterlithgow,D9,370,930,696,60750,0.00058
Lachlan,D9,48,166,128,25000,5.6e-05
Oberon,D9,73,199,142,11500,0.000132
Orange,D9,656,877,577,96350,0.011212
Parkes,D9,172,314,274,43250,0.000243
Rylstone,D9,54,207,139,12000,0.000105
Weddin,D9,34,142,111,12650,0.000124
Begavalley,D10,143,636,429,67650,0.000359
Bombala,D10,26,117,97,9500,8e-05
Boorowa,D10,22,118,83,7700,1e-04
Cooma-monaro,D10,116,339,225,28100,0.00019
Crookwell,D10,70,130,91,13450,0.000124
Eurobodalla,D10,243,856,557,60600,0.00059
Goulburn,D10,462,616,453,65500,0.040136
Gunning,D10,49,425,304,6150,9.2e-05
Marden,D10,69,232,154,12350,0.00022
Mulwaree,D10,157,491,403,14500,9.4e-05
Queanbeyan,D10,215,655,428,66400,0.062969
Snowyriver,D10,128,465,310,15650,8.6e-05
Tallaganda,D10,46,238,150,7250,7.3e-05
Yarrowlumla,D10,45,377,284,18200,0.000203
Yass,D10,190,582,449,24100,0.000244
Young,D10,90,233,130,32800,0.000408
Carrathool,D11,46,141,117,10200,1.8e-05
Coolamon,D11,37,116,90,12200,0.000166
Cootamundra,D11,91,231,200,24600,0.000545
Griffith,D11,519,514,401,64000,0.001306
Gundagai,D11,111,267,227,12200,0.000166
Hay,D11,44,114,89,11750,3.4e-05
Junee,D11,21,119,92,16300,0.00027
Leeton,D11,102,255,195,33750,0.000953
Lockhart,D11,25,101,71,11250,0.000129
Murrumbidgee,D11,32,85,71,7200,6.9e-05
Narrandera,D11,95,201,171,22300,0.000179
Temora,D11,64,138,108,19550,0.000232
Tumut,D11,113,353,232,35950,0.000314
Waggawagga,D11,617,1456,962,149500,0.00103
Albury,D12,511,1390,978,116450,0.036569
Balranald,D12,46,96,102,8800,1.4e-05
Berrigan,D12,65,123,127,23100,0.000373
Cohargo,D12,0,22,17,5400,4.9e-05
Corona,D12,34,130,101,21000,0.000324
Culcairn,D12,24,109,78,13250,0.000276
Deniliquin,D12,71,185,133,23850,0.005383
Holbrook,D12,97,149,165,7750,1e-04
Hume,D12,30,181,152,16450,0.000285
Jerilderie,D12,11,52,36,6750,6.6e-05
Murray,D12,17,96,82,13050,1e-04
Tumbarumba,D12,35,112,92,12050,9.3e-05
Urana,D12,15,63,69,5350,5.3e-05
Wakool,D12,24,130,150,14650,6.5e-05
Wentworth,D12,35,174,153,21950,2.8e-05
Windouran,D12,0,17,11,1450,1e-05
Brokenhill,D13,912,540,505,77400,0.038558
Centraldarling,D13,75,130,160,9550,6e-06
Unincorporatedarea,D13,5,110,122,3650,1e-06
