polholder_age,polholder_BMCevol,polholder_diffdriver,polholder_gender,polholder_job,policy_age,policy_caruse,policy_nbcontract,prem_final,prem_freqperyear,prem_last,prem_market,prem_pure,vehicl_age,vehicl_agepurchase,vehicl_garage,vehicl_powerkw,vehicl_region,lapse
31,down,only partner,Male,normal,0,private or freelance work,1,404.74,4 per year,413.0,381.31,364.06,13,13,street,75 kW,Reg12,0
36,stable,only partner,Male,normal,2,private or freelance work,3,212.64,1 per year,212.65,306.79,214.66,11,8,parking deck,75 kW,Reg3,0
71,down,same,Male,normal,10,private or freelance work,2,207.69,1 per year,211.92,257.76,188.37,14,4,private garage,100 kW,Reg10,0
29,up,only partner,Female,medical,3,private or freelance work,1,600.32,4 per year,428.8,489.86,611.67,11,7,unknown,75 kW,Reg5,0
40,stable,same,Male,normal,6,private or freelance work,1,221.86,2 per year,221.88,201.98,221.88,7,7,street,25-50 kW,Reg7,0
52,down,same,Male,medical,0,private or freelance work,1,223.75,1 per year,228.31,298.04,206.77,12,6,private garage,100 kW,Reg8,0
44,down,same,Female,medical,0,private or freelance work,1,517.65,1 per year,601.31,536.6,453.5,12,12,other,25-50 kW,Reg11,0
36,stable,only partner,Female,medical,1,private or freelance work,1,273.5,1 per year,273.51,365.89,286.63,14,10,private garage,75 kW,Reg13,0
67,stable,same,Male,normal,0,private or freelance work,1,134.6,1 per year,134.61,193.21,134.61,18,11,private garage,75 kW,Reg3,0
40,stable,only partner,Female,normal,6,unknown,1,273.23,12 per year,273.24,252.88,263.49,18,12,street,25-50 kW,Reg4,0
45,down,only partner,Male,normal,1,private or freelance work,1,447.93,4 per year,457.08,397.15,426.61,8,5,private garage,25-50 kW,Reg3,0
21,down,same,Female,normal,0,private or freelance work,1,884.3,4 per year,922.75,759.48,768.96,12,10,parking deck,25-50 kW,Reg8,0
38,stable,only partner,Male,medical,1,private or freelance work,1,271.56,1 per year,271.57,346.97,271.57,14,11,street,75 kW,Reg6,0
31,down,only partner,Male,normal,4,private or freelance work,1,517.65,1 per year,528.21,531.94,479.5,14,9,street,125-300 kW,Reg9,0
44,stable,only partner,Female,medical,0,private or freelance work,1,240.3,1 per year,240.31,314.44,231.42,5,0,private garage,100 kW,Reg14,0
57,stable,only partner,Male,medical,11,private or freelance work,1,103.86,1 per year,98.92,115.57,110.36,12,0,street,25-50 kW,Reg5,1
59,stable,same,Male,normal,10,private or freelance work,1,284.55,1 per year,284.56,246.19,284.56,16,15,private garage,75 kW,Reg13,0
79,stable,same,Male,normal,11,unknown,5,198.29,1 per year,196.45,160.78,198.29,12,1,private garage,25-50 kW,Reg8,0
48,down,only partner,Female,normal,0,private or freelance work,1,447.59,4 per year,456.73,443.51,415.2,8,7,private garage,125-300 kW,Reg8,0
28,down,same,Male,normal,0,private or freelance work,1,629.52,12 per year,731.26,678.7,551.23,16,15,other,125-300 kW,Reg8,0
47,stable,same,Male,medical,12,unknown,1,165.85,1 per year,165.86,168.26,165.86,18,8,private garage,25-50 kW,Reg14,0
64,stable,only partner,Male,medical,7,unknown,1,206.77,1 per year,206.79,165.9,206.79,12,0,carport,25-50 kW,Reg10,1
46,down,same,Female,normal,1,private or freelance work,1,477.53,12 per year,487.28,442.19,429.7,11,10,carport,75 kW,Reg7,0
42,stable,only partner,Male,normal,1,private or freelance work,1,151.21,1 per year,151.23,197.03,158.36,16,9,private garage,100 kW,Reg3,0
59,stable,same,Male,medical,9,unknown,1,325.48,2 per year,325.49,227.93,305.36,14,2,private garage,100 kW,Reg12,0
77,stable,all drivers > 24,Female,normal,10,private or freelance work,1,131.32,1 per year,131.34,113.5,126.66,17,6,private garage,75 kW,Reg3,0
58,up,young drivers,Male,normal,0,private or freelance work,2,934.52,2 per year,741.18,1168.4,891.58,16,16,street,25-50 kW,Reg4,0
64,stable,same,Male,normal,11,private or freelance work,1,175.19,1 per year,175.2,177.82,175.2,6,5,private garage,75 kW,Reg4,0
32,down,same,Male,normal,0,private or freelance work,1,666.04,4 per year,773.69,684.26,551.23,17,15,other,75 kW,Reg11,0
36,down,only partner,Female,normal,0,private or freelance work,1,261.5,4 per year,266.84,181.41,214.21,7,6,private garage,100 kW,Reg5,0
48,down,same,Male,normal,0,private or freelance work,1,494.72,2 per year,504.81,523.21,494.1,11,8,parking deck,75 kW,Reg9,1
60,down,only partner,Male,normal,4,private or freelance work,2,312.37,1 per year,318.75,255.25,309.14,4,0,private garage,75 kW,Reg5,0
31,stable,only partner,Male,medical,0,private or freelance work,2,195.5,1 per year,195.51,265.82,195.51,14,8,private garage,75 kW,Reg8,1
72,down,same,Male,normal,3,private or freelance work,2,589.19,4 per year,684.41,848.95,535.62,16,6,street,100 kW,Reg4,0
51,down,all drivers > 24,Female,medical,0,private or freelance work,1,237.91,1 per year,242.76,337.56,226.9,16,10,private garage,25-50 kW,Reg11,0
38,stable,same,Male,normal,0,private or freelance work,1,233.35,1 per year,233.36,301.77,233.35,13,3,other,100 kW,Reg8,1
41,stable,same,Male,normal,3,private or freelance work,2,352.52,1 per year,352.54,285.84,355.8,13,5,unknown,75 kW,Reg2,0
35,down,same,Male,medical,1,private or freelance work,1,848.29,1 per year,985.39,865.21,816.81,8,6,street,25-50 kW,Reg9,0
30,down,same,Female,medical,1,private or freelance work,1,768.37,1 per year,801.77,630.85,668.15,5,4,private garage,25-50 kW,Reg8,0
44,stable,only partner,Male,normal,0,private or freelance work,3,258.98,12 per year,258.99,258.72,258.99,11,10,carport,75 kW,Reg4,0
36,down,same,Female,medical,1,private or freelance work,6,645.21,2 per year,673.26,510.85,561.06,16,15,street,75 kW,Reg9,0
45,stable,same,Male,medical,6,unknown,1,372.46,1 per year,372.48,366.16,386.59,10,3,street,25-50 kW,Reg5,0
37,stable,only partner,Female,medical,8,unknown,1,553.5,4 per year,553.51,359.06,538.26,16,8,street,75 kW,Reg9,0
35,stable,only partner,Male,normal,2,private or freelance work,3,263.75,1 per year,263.76,209.09,263.76,16,13,parking deck,25-50 kW,Reg4,0
40,down,only partner,Male,normal,2,private or freelance work,1,339.91,1 per year,346.85,370.99,324.06,16,11,other,75 kW,Reg9,0
40,down,only partner,Female,normal,9,private or freelance work,1,341.26,1 per year,348.22,273.55,316.56,9,7,street,25-50 kW,Reg4,0
28,down,same,Female,medical,2,private or freelance work,1,706.65,12 per year,721.07,429.05,648.25,9,6,underground garage,75 kW,Reg4,1
52,stable,only partner,Male,medical,1,private or freelance work,2,343.51,4 per year,343.53,359.49,324.43,18,12,other,100 kW,Reg4,0
32,down,same,Male,normal,0,private or freelance work,1,364.71,4 per year,372.15,424.71,318.99,18,16,private garage,100 kW,Reg7,0
29,stable,same,Male,normal,0,private or freelance work,1,233.29,1 per year,233.3,317.09,233.3,15,8,street,75 kW,Reg12,0
46,stable,same,Male,medical,7,unknown,1,485.83,4 per year,485.84,457.95,533.7,14,7,street,75 kW,Reg5,0
50,down,only partner,Male,normal,2,private or freelance work,3,282.99,1 per year,288.76,256.3,279.85,18,10,private garage,25-50 kW,Reg7,0
48,stable,same,Female,medical,1,private or freelance work,1,317.81,1 per year,302.69,257.91,323.21,3,2,private garage,75 kW,Reg8,0
46,down,same,Female,medical,0,private or freelance work,4,375.68,4 per year,383.35,321.54,328.59,17,16,parking deck,25-50 kW,Reg3,0
53,stable,all drivers > 24,Female,medical,0,private or freelance work,1,258.46,1 per year,258.47,311.16,258.47,17,14,parking deck,75 kW,Reg5,0
36,down,all drivers > 24,Male,medical,0,private or freelance work,1,452.26,1 per year,461.49,543.49,448.05,13,10,street,75 kW,Reg10,0
52,stable,same,Female,normal,5,unknown,2,187.15,1 per year,187.16,139.3,185.55,6,0,unknown,100 kW,Reg5,0
45,stable,only partner,Male,medical,2,private or freelance work,1,182.81,2 per year,177.86,216.92,182.81,11,4,underground garage,25-50 kW,Reg4,0
23,down,only partner,Female,normal,1,private or freelance work,1,846.75,12 per year,883.56,658.32,736.3,15,14,underground garage,25-50 kW,Reg8,0
54,down,young drivers,Male,medical,0,private or freelance work,1,384.22,1 per year,400.92,447.0,334.11,12,3,street,100 kW,Reg4,0
24,down,same,Male,medical,0,private or freelance work,1,522.44,4 per year,606.88,530.8,474.94,9,8,parking deck,75 kW,Reg11,0
33,stable,same,Female,medical,0,private or freelance work,1,684.84,4 per year,684.85,777.1,618.21,16,16,street,25-50 kW,Reg13,0
52,stable,same,Female,medical,10,private or freelance work,1,145.15,1 per year,145.16,160.06,145.16,15,2,underground garage,100 kW,Reg5,0
47,stable,young drivers,Male,medical,9,private or freelance work,1,413.62,1 per year,413.64,318.6,413.64,12,0,parking deck,75 kW,Reg3,0
50,down,young drivers,Male,normal,3,private or freelance work,2,558.49,4 per year,569.89,335.26,523.04,15,12,parking deck,25-50 kW,Reg6,0
40,stable,only partner,Male,normal,7,unknown,2,464.35,2 per year,464.36,306.14,468.62,12,4,carport,75 kW,Reg4,0
26,down,same,Male,normal,0,private or freelance work,1,484.23,1 per year,494.11,471.89,452.75,6,4,underground garage,100 kW,Reg4,0
45,up,same,Female,medical,1,private or freelance work,2,255.91,1 per year,199.04,308.5,255.91,13,6,private garage,25-50 kW,Reg8,1
43,stable,same,Male,medical,6,unknown,2,504.4,4 per year,504.41,363.52,490.75,12,6,private garage,75 kW,Reg4,0
77,up,same,Female,normal,1,private or freelance work,1,1707.38,4 per year,1354.13,1659.31,1707.38,18,17,other,75 kW,Reg4,0
29,stable,only partner,Male,medical,0,private or freelance work,2,691.29,2 per year,691.3,841.44,691.3,7,7,other,25-50 kW,Reg5,0
27,down,all drivers > 24,Male,normal,0,private or freelance work,1,635.47,4 per year,738.17,697.01,605.76,11,10,private garage,100 kW,Reg11,0
52,stable,all drivers > 24,Male,normal,2,private or freelance work,1,344.46,1 per year,344.47,349.59,334.95,16,11,private garage,75 kW,Reg14,0
39,down,same,Male,normal,1,private or freelance work,1,359.93,12 per year,367.28,285.21,309.36,5,4,street,25-50 kW,Reg4,0
36,down,only partner,Male,normal,1,private or freelance work,1,251.59,1 per year,256.73,280.5,239.76,10,4,private garage,75 kW,Reg5,0
33,stable,only partner,Male,normal,4,private or freelance work,1,315.01,2 per year,315.03,213.78,289.7,9,0,unknown,75 kW,Reg12,0
40,stable,all drivers > 24,Male,medical,4,private or freelance work,1,386.0,2 per year,386.01,343.85,371.69,7,4,street,75 kW,Reg12,0
56,stable,same,Male,normal,7,private or freelance work,1,341.85,1 per year,341.86,323.99,341.86,7,5,carport,75 kW,Reg2,0
44,down,only partner,Male,normal,0,private or freelance work,2,377.43,1 per year,385.14,411.1,353.04,7,0,carport,75 kW,Reg3,0
75,stable,same,Male,normal,7,unknown,1,230.25,2 per year,230.26,222.09,234.5,8,1,private garage,100 kW,Reg1,0
37,down,all drivers > 24,Male,normal,2,private or freelance work,1,420.19,1 per year,428.76,367.43,375.16,14,11,other,150 kW,Reg8,0
27,down,young drivers,Female,normal,4,private or freelance work,1,671.23,4 per year,684.93,485.57,587.86,14,10,unknown,100 kW,Reg5,0
38,down,same,Male,normal,4,private or freelance work,2,262.0,1 per year,267.35,190.73,225.48,13,0,unknown,75 kW,Reg12,0
37,stable,only partner,Female,normal,1,private or freelance work,2,233.2,1 per year,233.21,325.06,242.51,7,3,parking deck,75 kW,Reg5,0
70,stable,same,Male,medical,8,unknown,1,323.27,1 per year,323.29,292.73,326.14,15,2,private garage,75 kW,Reg7,0
51,stable,only partner,Male,medical,6,private or freelance work,1,301.7,1 per year,301.71,310.27,301.71,9,2,private garage,100 kW,Reg13,0
56,stable,same,Male,normal,0,private or freelance work,1,298.34,4 per year,298.34,345.42,298.34,18,12,parking deck,100 kW,Reg6,0
44,stable,only partner,Male,normal,1,private or freelance work,1,381.97,12 per year,381.99,346.61,367.84,10,8,parking deck,25-50 kW,Reg8,0
54,down,same,Male,medical,11,unknown,1,409.26,1 per year,417.61,242.12,371.21,18,15,private garage,100 kW,Reg3,0
50,down,only partner,Male,normal,2,private or freelance work,1,257.86,4 per year,263.12,203.05,242.65,13,2,private garage,25-50 kW,Reg13,0
58,stable,same,Male,normal,2,private or freelance work,1,220.76,1 per year,220.77,254.74,220.77,18,9,parking deck,100 kW,Reg4,0
30,down,same,Female,medical,0,private or freelance work,1,414.45,1 per year,422.91,448.25,394.74,17,16,underground garage,75 kW,Reg7,0
46,down,commercial,Female,normal,0,commercial,3,583.53,12 per year,595.44,593.71,555.74,18,17,unknown,75 kW,Reg7,0
43,stable,only partner,Male,normal,1,private or freelance work,1,159.14,1 per year,159.15,191.41,165.13,18,15,carport,75 kW,Reg8,0
34,stable,same,Male,normal,2,private or freelance work,1,185.09,2 per year,185.1,191.77,185.1,9,7,underground garage,100 kW,Reg10,1
48,stable,same,Male,medical,2,private or freelance work,1,181.26,1 per year,177.92,239.55,181.26,13,7,private garage,175 kW,Reg8,0
54,stable,same,Female,normal,3,private or freelance work,1,187.54,2 per year,187.55,205.69,175.62,15,14,parking deck,75 kW,Reg5,0
33,down,same,Female,medical,1,private or freelance work,1,301.13,1 per year,307.28,375.96,263.88,14,7,street,100 kW,Reg4,0
31,stable,same,Female,normal,0,private or freelance work,1,206.09,1 per year,206.1,224.27,194.99,12,0,underground garage,100 kW,Reg7,0
39,down,only partner,Male,normal,2,private or freelance work,1,592.85,1 per year,604.95,456.73,559.31,7,5,private garage,100 kW,Reg8,0
52,down,all drivers > 24,Female,medical,9,unknown,1,192.09,4 per year,196.01,141.07,165.09,9,0,private garage,25-50 kW,Reg6,0
34,down,only partner,Female,normal,1,private or freelance work,1,193.98,1 per year,197.94,190.95,173.2,9,6,other,25-50 kW,Reg13,1
38,down,only partner,Female,normal,0,private or freelance work,1,503.71,1 per year,525.61,564.43,438.01,8,8,private garage,150 kW,Reg7,0
48,stable,same,Male,normal,1,private or freelance work,1,154.47,4 per year,154.49,214.25,151.66,17,10,carport,100 kW,Reg1,0
50,stable,same,Male,normal,3,private or freelance work,1,270.9,1 per year,270.91,215.52,239.31,9,8,street,100 kW,Reg12,0
49,stable,only partner,Male,medical,6,unknown,1,355.2,1 per year,355.21,291.5,324.21,12,5,private garage,125-300 kW,Reg4,0
62,stable,all drivers > 24,Female,medical,0,private or freelance work,2,195.0,4 per year,195.01,270.03,195.01,12,4,parking deck,100 kW,Reg5,0
39,down,all drivers > 24,Male,normal,1,private or freelance work,15,210.19,1 per year,214.48,209.77,177.08,6,0,street,125-300 kW,Reg4,0
71,stable,same,Female,normal,8,unknown,1,330.57,2 per year,330.59,222.71,333.56,18,8,street,25-50 kW,Reg5,0
32,stable,all drivers > 24,Female,medical,1,private or freelance work,1,206.76,4 per year,206.77,276.19,206.77,18,17,parking deck,75 kW,Reg8,0
42,stable,same,Male,medical,2,private or freelance work,1,182.61,2 per year,182.63,270.82,182.63,16,3,private garage,175 kW,Reg8,0
78,stable,same,Female,normal,2,private or freelance work,1,267.16,1 per year,267.18,289.18,267.18,17,8,private garage,75 kW,Reg4,0
39,stable,all drivers > 24,Male,normal,0,private or freelance work,1,427.47,4 per year,427.49,436.62,427.48,11,11,underground garage,25-50 kW,Reg8,1
37,down,all drivers > 24,Male,normal,0,private or freelance work,1,645.6,4 per year,658.78,629.16,538.21,13,13,private garage,75 kW,Reg13,0
36,down,only partner,Male,medical,0,private or freelance work,2,302.91,2 per year,316.08,357.98,263.4,11,7,carport,25-50 kW,Reg12,0
53,stable,same,Female,medical,8,unknown,1,460.46,1 per year,460.48,340.46,464.75,17,9,street,75 kW,Reg4,0
36,down,only partner,Female,normal,0,private or freelance work,1,277.59,4 per year,283.25,334.26,242.79,17,12,carport,75 kW,Reg3,0
35,down,same,Male,medical,0,private or freelance work,1,252.45,1 per year,257.6,322.43,231.83,10,0,private garage,100 kW,Reg5,0
37,down,same,Male,medical,0,private or freelance work,1,202.64,4 per year,206.77,219.9,172.67,18,18,other,25-50 kW,Reg1,0
43,stable,all drivers > 24,Male,medical,0,private or freelance work,1,222.86,1 per year,222.88,326.46,222.88,14,10,private garage,25-50 kW,Reg10,0
34,down,only partner,Female,normal,1,private or freelance work,1,179.54,2 per year,183.2,230.54,157.36,17,10,parking deck,75 kW,Reg12,0
66,stable,only partner,Male,normal,8,unknown,1,200.0,1 per year,190.49,170.81,201.06,12,0,street,75 kW,Reg10,0
33,down,only partner,Female,medical,0,private or freelance work,1,793.49,4 per year,921.73,928.41,771.25,17,16,street,75 kW,Reg4,0
52,stable,young drivers,Male,medical,0,private or freelance work,1,489.54,12 per year,489.54,328.98,489.54,11,10,private garage,100 kW,Reg4,1
66,stable,same,Male,normal,7,unknown,1,563.24,1 per year,563.25,436.67,517.31,15,4,street,75 kW,Reg7,0
72,stable,only partner,Male,normal,7,unknown,1,340.42,1 per year,337.22,347.75,340.42,8,0,private garage,100 kW,Reg5,0
40,up,same,Male,medical,3,private or freelance work,1,822.42,4 per year,639.66,612.16,822.43,12,8,unknown,100 kW,Reg7,0
43,down,only partner,Male,medical,8,unknown,1,483.18,1 per year,493.04,382.9,464.94,8,0,private garage,100 kW,Reg8,0
44,down,same,Male,medical,6,private or freelance work,5,248.23,1 per year,253.3,217.62,211.71,7,1,private garage,25-50 kW,Reg4,1
35,stable,same,Female,normal,2,private or freelance work,1,261.64,12 per year,261.65,235.3,261.65,16,10,parking deck,100 kW,Reg10,0
28,down,only partner,Female,medical,2,private or freelance work,1,382.24,4 per year,390.04,335.17,322.17,10,8,parking deck,75 kW,Reg7,0
43,stable,same,Male,medical,0,private or freelance work,1,213.89,4 per year,213.9,281.39,198.62,15,8,street,75 kW,Reg2,0
30,stable,same,Male,medical,0,private or freelance work,1,731.25,4 per year,731.26,862.59,731.26,11,10,parking deck,100 kW,Reg7,0
35,stable,only partner,Male,normal,1,private or freelance work,1,199.19,1 per year,199.2,289.83,199.2,17,4,street,125-300 kW,Reg12,0
28,down,same,Male,medical,0,private or freelance work,1,769.47,4 per year,893.82,638.54,699.51,16,16,parking deck,75 kW,Reg6,0
33,down,young drivers,Male,normal,0,private or freelance work,2,326.08,1 per year,332.74,506.24,287.86,12,9,carport,75 kW,Reg7,0
40,stable,only partner,Male,medical,2,private or freelance work,1,277.22,1 per year,277.22,240.85,277.22,12,7,carport,125-300 kW,Reg1,0
67,down,same,Male,medical,5,private or freelance work,1,179.18,1 per year,182.84,275.59,162.53,18,12,street,75 kW,Reg5,0
22,down,same,Female,medical,0,private or freelance work,1,302.8,1 per year,308.97,345.5,264.84,9,5,street,25-50 kW,Reg14,0
42,down,same,Female,normal,1,private or freelance work,1,206.94,12 per year,211.16,209.88,179.74,15,6,private garage,100 kW,Reg11,0
49,down,only partner,Male,normal,1,private or freelance work,2,237.29,4 per year,242.14,255.93,209.96,12,8,carport,100 kW,Reg12,0
46,stable,only partner,Male,medical,0,private or freelance work,3,226.79,1 per year,226.8,295.94,216.31,15,2,private garage,175 kW,Reg4,0
41,stable,all drivers > 24,Female,medical,0,private or freelance work,1,353.02,4 per year,353.04,530.35,353.04,17,13,other,100 kW,Reg4,0
36,down,only partner,Male,medical,1,private or freelance work,1,238.05,4 per year,242.91,294.99,218.61,13,9,street,125-300 kW,Reg3,0
36,down,same,Male,normal,1,private or freelance work,1,795.97,1 per year,1115.12,810.54,692.15,11,8,parking deck,75 kW,Reg2,0
55,stable,same,Male,normal,2,private or freelance work,1,197.33,2 per year,197.34,213.84,197.34,18,5,carport,150 kW,Reg8,0
44,stable,same,Male,normal,0,private or freelance work,1,240.3,1 per year,240.31,327.88,240.31,18,11,underground garage,100 kW,Reg12,0
67,stable,only partner,Male,medical,10,unknown,1,280.7,1 per year,280.71,173.45,247.45,15,2,private garage,75 kW,Reg5,0
57,stable,same,Male,normal,4,private or freelance work,1,330.64,1 per year,330.65,275.65,330.65,18,8,unknown,25-50 kW,Reg2,0
62,stable,same,Male,normal,8,unknown,1,547.32,4 per year,547.34,242.69,537.49,18,9,street,100 kW,Reg6,0
45,stable,same,Male,normal,1,private or freelance work,1,279.62,4 per year,279.62,310.68,279.62,13,7,private garage,100 kW,Reg5,0
23,down,same,Male,normal,1,private or freelance work,1,607.5,1 per year,619.9,493.51,568.24,14,10,private garage,75 kW,Reg2,0
42,stable,only partner,Male,medical,6,unknown,1,327.91,1 per year,327.92,275.62,330.86,10,3,private garage,75 kW,Reg8,0
75,stable,same,Male,normal,2,private or freelance work,1,362.65,1 per year,348.97,354.74,362.65,14,7,street,75 kW,Reg9,0
31,stable,only partner,Female,medical,3,private or freelance work,1,306.44,1 per year,306.45,401.48,324.25,14,4,street,75 kW,Reg9,0
31,stable,same,Female,medical,1,private or freelance work,1,233.92,1 per year,233.94,251.86,233.94,13,1,private garage,75 kW,Reg14,1
40,down,same,Male,normal,0,private or freelance work,1,261.94,12 per year,267.29,321.99,245.01,14,6,street,75 kW,Reg14,0
35,down,same,Male,normal,2,private or freelance work,1,522.63,12 per year,533.3,339.21,432.35,18,17,private garage,75 kW,Reg6,0
53,down,all drivers > 24,Male,normal,1,private or freelance work,1,321.81,1 per year,328.38,332.78,315.75,12,10,parking deck,25-50 kW,Reg5,0
52,stable,same,Female,normal,0,private or freelance work,1,206.81,1 per year,206.83,242.27,197.37,15,13,other,100 kW,Reg7,0
48,stable,only partner,Male,medical,2,private or freelance work,1,308.71,1 per year,308.72,308.85,326.8,17,12,street,100 kW,Reg9,0
46,stable,same,Male,normal,8,unknown,1,323.42,12 per year,323.44,199.55,308.89,10,0,street,125-300 kW,Reg10,0
21,down,same,Male,normal,0,private or freelance work,1,758.99,4 per year,791.99,787.29,659.99,16,14,street,75 kW,Reg3,0
56,stable,only partner,Male,normal,0,private or freelance work,1,108.25,1 per year,108.26,161.0,104.43,16,5,private garage,75 kW,Reg13,0
50,stable,young drivers,Female,medical,0,private or freelance work,1,164.04,1 per year,164.05,227.05,164.05,11,1,street,25-50 kW,Reg4,0
50,down,young drivers,Male,medical,0,private or freelance work,2,685.61,2 per year,796.41,752.9,623.29,18,17,other,75 kW,Reg3,0
47,down,only partner,Male,normal,0,private or freelance work,1,189.34,2 per year,193.2,236.92,171.74,14,0,parking deck,75 kW,Reg7,0
41,stable,young drivers,Female,normal,0,private or freelance work,1,1443.15,4 per year,1443.16,1399.81,1698.05,12,12,street,100 kW,Reg12,0
35,stable,same,Female,normal,0,private or freelance work,1,190.13,1 per year,190.14,257.02,190.14,11,6,underground garage,100 kW,Reg7,0
31,stable,same,Male,medical,0,private or freelance work,1,286.66,2 per year,286.67,319.23,297.69,9,9,parking deck,125-300 kW,Reg3,0
40,stable,only partner,Male,medical,9,unknown,1,255.4,1 per year,255.41,179.4,246.4,9,0,street,150 kW,Reg7,0
41,stable,same,Male,medical,0,private or freelance work,1,286.12,1 per year,286.12,362.15,286.12,14,13,carport,75 kW,Reg1,0
38,down,all drivers > 24,Female,normal,0,private or freelance work,1,645.37,4 per year,673.42,726.81,525.1,16,15,parking deck,100 kW,Reg12,0
67,stable,same,Female,normal,7,unknown,1,176.34,1 per year,176.34,87.9,176.34,18,18,private garage,25-50 kW,Reg12,0
30,stable,only partner,Male,normal,1,private or freelance work,1,179.5,1 per year,179.51,279.18,184.52,18,9,private garage,125-300 kW,Reg12,0
46,stable,same,Male,normal,5,private or freelance work,1,217.76,1 per year,217.78,264.39,217.78,14,7,private garage,100 kW,Reg10,0
