City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response
C3,3587,Owned,Joint,30,28,Yes,X1,2.0,3.0,10,14022.4,0
C5,113,Rented,Individual,46,46,No,,3.0,1.0,19,18564.0,0
C1,36,Rented,Joint,37,35,Yes,X1,3.0,2.0,20,11004.0,1
C2,335,Rented,Individual,31,31,No,X5,,,22,8952.0,1
C2,2209,Owned,Individual,54,54,No,X1,,,11,14496.0,0
C2,1945,Owned,Individual,72,72,No,X4,2.0,3.0,17,17220.0,0
C35,2882,Owned,Individual,57,57,No,X5,,,14,13052.0,0
C14,2286,Rented,Individual,53,53,No,X4,,,21,10890.0,0
C1,5,Owned,Individual,75,75,No,,4.0,4.0,16,18944.0,0
C12,1724,Rented,Joint,37,31,No,X2,4.0,3.0,17,16793.6,0
C9,623,Owned,Individual,31,31,No,,,,16,11280.0,0
C23,1,Rented,Individual,29,29,No,X2,2.0,1.0,17,11392.0,0
C18,5390,Owned,Individual,73,73,No,X2,6.0,4.0,1,17312.0,0
C2,562,Owned,Individual,25,25,No,X1,2.0,3.0,18,12834.0,0
C2,646,Rented,Individual,44,44,No,X2,,,18,11056.0,1
C9,66,Rented,Individual,34,34,No,X3,3.0,3.0,22,7440.0,1
C2,2728,Owned,Joint,71,64,Yes,X1,3.0,4.0,17,34099.2,0
C1,305,Owned,Individual,23,23,No,,2.0,1.0,19,7200.0,1
C9,1927,Rented,Joint,33,30,Yes,X3,1.0,1.0,19,20416.0,1
C1,826,Owned,Individual,63,63,No,X4,14+,3.0,19,14612.0,0
C3,2079,Rented,Individual,22,22,No,X4,,,17,6470.0,0
C12,2360,Owned,Individual,35,35,No,X3,1.0,4.0,17,13662.0,0
C4,308,Rented,Individual,27,27,No,X2,5.0,3.0,15,5890.0,1
C7,3505,Owned,Individual,53,53,No,X2,,,10,16128.0,1
C10,1908,Rented,Individual,28,28,No,X1,3.0,1.0,12,9696.0,1
C3,1418,Rented,Individual,59,59,No,X2,14+,2.0,17,12280.0,1
C8,5311,Rented,Individual,38,38,No,,4.0,1.0,1,13068.0,0
C17,2293,Owned,Individual,56,56,No,,,,12,15030.0,0
C27,1335,Owned,Joint,46,40,Yes,X2,,,6,17740.8,0
C9,10,Rented,Individual,43,43,No,X1,,,4,12260.0,0
C1,62,Owned,Individual,70,70,No,X2,,,16,19872.0,0
C2,158,Owned,Individual,26,26,No,X1,6.0,3.0,22,8820.0,0
C9,2731,Rented,Individual,26,26,No,X3,,,22,9552.0,1
C1,3266,Rented,Individual,32,32,No,X1,,,16,7476.0,1
C1,670,Owned,Joint,60,51,Yes,X1,,,22,29250.0,1
C1,232,Owned,Joint,70,69,Yes,X1,14+,2.0,21,31660.8,1
C2,4216,Owned,Individual,61,61,No,,8.0,4.0,22,15720.0,1
C2,3659,Owned,Individual,74,74,No,,,,22,20808.0,0
C4,2635,Owned,Joint,50,20,No,X1,11.0,3.0,21,22422.4,1
C13,1257,Rented,Joint,48,19,No,X6,,,15,23347.2,1
C12,3222,Owned,Individual,23,23,No,X4,,,1,8722.0,0
C1,2107,Rented,Individual,61,61,No,X1,14+,3.0,21,17602.0,0
C1,3133,Owned,Individual,67,67,No,X2,,,7,16016.0,1
C2,3164,Rented,Individual,42,42,No,X1,14+,1.0,22,10864.0,1
C24,2347,Rented,Individual,33,33,No,X1,11.0,1.0,16,8722.0,1
C17,5611,Rented,Joint,63,54,Yes,X2,8.0,1.0,19,24531.0,1
C3,2701,Owned,Joint,40,34,Yes,X2,,,14,11739.0,1
C21,4041,Owned,Joint,37,35,Yes,X2,4.0,1.0,15,13171.2,1
C2,1263,Owned,Individual,45,45,No,X3,,,3,11826.0,1
C17,3616,Owned,Joint,41,35,Yes,X2,,,12,14660.8,1
C1,631,Owned,Individual,50,50,No,X2,3.0,3.0,20,18174.0,1
C5,1117,Owned,Individual,37,37,No,X1,,,22,13460.0,0
C4,3687,Owned,Individual,33,33,No,X1,6.0,3.0,15,5520.0,1
C3,1017,Rented,Individual,26,26,No,X1,1.0,4.0,22,11250.0,1
C6,891,Rented,Individual,28,28,No,,4.0,3.0,21,8076.0,1
C1,869,Owned,Individual,36,36,No,X4,8.0,3.0,16,8078.0,0
C3,236,Owned,Individual,43,43,No,X1,1.0,2.0,19,16368.0,1
C9,2892,Rented,Individual,54,54,No,X2,14+,3.0,18,12940.0,0
C5,4226,Rented,Individual,27,27,No,X3,,,21,6370.0,0
C23,1374,Rented,Individual,21,21,No,X2,,,20,7440.0,0
C1,2584,Rented,Individual,31,31,No,X1,2.0,4.0,8,8124.0,1
C4,209,Rented,Individual,21,21,No,X2,,,8,5584.0,0
C4,2508,Owned,Individual,49,49,No,X4,4.0,3.0,19,10032.0,1
C1,1303,Owned,Individual,33,33,No,X2,,,22,8554.0,0
C11,319,Owned,Individual,26,26,No,X4,,,22,9712.0,1
C1,3447,Owned,Individual,75,75,No,X4,,,21,20264.0,1
C14,2177,Rented,Individual,52,52,No,X1,14+,4.0,17,13156.0,1
C6,3326,Rented,Individual,25,25,No,X1,,,10,6240.0,0
C13,3602,Owned,Individual,72,72,No,,9.0,3.0,6,18210.0,1
C20,181,Rented,Individual,26,26,No,,4.0,3.0,20,6888.0,0
C15,885,Owned,Individual,70,70,No,X1,14.0,4.0,21,17730.0,0
C6,3983,Rented,Individual,64,64,No,X2,8.0,4.0,15,14950.0,0
C2,74,Owned,Individual,44,44,No,,14.0,3.0,21,15744.0,1
C6,667,Rented,Individual,19,19,No,X3,,,21,8976.0,0
C2,2250,Owned,Individual,32,32,No,,,,22,6240.0,1
C7,2836,Owned,Joint,43,16,Yes,X4,,,22,17604.0,0
C2,5007,Rented,Individual,28,28,No,X2,7.0,3.0,14,9008.0,0
C17,838,Rented,Individual,24,24,No,,,,15,9680.0,1
C11,98,Owned,Individual,30,30,No,X2,6.0,3.0,18,8232.0,1
C14,2286,Owned,Joint,47,43,No,X2,8.0,3.0,18,15897.6,1
C16,1175,Owned,Joint,59,48,Yes,,14+,4.0,9,27072.0,0
C11,4252,Rented,Individual,43,43,No,X3,2.0,4.0,2,13750.0,1
C1,3698,Owned,Joint,50,46,Yes,X3,8.0,1.0,16,22352.0,1
C1,2930,Rented,Individual,27,27,No,X1,,,16,11970.0,1
C8,487,Rented,Individual,26,26,No,X1,5.0,1.0,1,7272.0,0
C24,2347,Rented,Individual,47,47,No,X2,2.0,1.0,2,10352.0,1
C2,2672,Rented,Joint,29,26,Yes,X3,7.0,3.0,3,16755.2,0
C6,114,Rented,Individual,20,20,No,X1,,,13,4816.0,1
C1,559,Rented,Individual,37,37,No,,14+,2.0,19,10736.0,1
C9,1686,Rented,Individual,32,32,No,,,,12,6936.0,0
C16,573,Rented,Individual,27,27,No,X3,,,19,13050.0,0
C17,2293,Rented,Individual,75,75,No,X6,4.0,3.0,12,19440.0,0
C6,2786,Rented,Individual,41,41,No,X3,2.0,3.0,9,13240.0,1
C15,3135,Rented,Joint,44,30,Yes,X1,3.0,2.0,9,24652.8,1
C4,262,Rented,Joint,69,51,No,X2,2.0,1.0,12,29520.0,1
C8,162,Rented,Individual,20,20,No,X1,,,22,9786.0,1
C12,1783,Owned,Individual,50,50,No,,14.0,3.0,17,12320.0,1
C20,317,Owned,Individual,32,32,No,,8.0,3.0,6,5820.0,1
C5,1448,Owned,Joint,49,40,Yes,,5.0,1.0,19,26247.0,0
C10,2586,Owned,Individual,22,22,No,X2,,,22,5192.0,1
C3,1098,Rented,Individual,19,19,No,X2,,,22,5456.0,1
C7,2874,Owned,Individual,42,42,No,X4,14+,3.0,21,15336.0,0
C12,2983,Owned,Individual,54,54,No,X1,1.0,1.0,2,15264.0,1
C1,1138,Owned,Joint,68,67,Yes,X3,6.0,3.0,17,26521.6,0
C2,21,Owned,Individual,51,51,No,,3.0,4.0,21,14016.0,0
C20,414,Rented,Individual,23,23,No,,,,22,4896.0,1
C14,2191,Rented,Individual,58,58,No,X1,2.0,2.0,12,15756.0,1
C1,1207,Owned,Individual,71,71,No,X3,14+,2.0,20,19392.0,1
C10,1405,Owned,Individual,65,65,No,X6,3.0,1.0,16,19744.0,1
C8,4236,Owned,Individual,28,28,No,X8,3.0,2.0,9,7608.0,0
C2,1275,Owned,Individual,75,75,No,X2,5.0,3.0,11,16296.0,1
C3,1548,Rented,Individual,31,31,No,,2.0,2.0,13,9952.0,1
C1,284,Rented,Individual,41,41,No,,5.0,1.0,12,13838.0,1
C25,3398,Owned,Individual,45,45,No,X5,,,21,9552.0,1
C9,2280,Owned,Individual,50,50,No,X4,,,22,17948.0,1
C7,1797,Owned,Individual,58,58,No,X2,1.0,3.0,21,16604.0,1
C8,635,Owned,Individual,43,43,No,X2,,,19,12400.0,1
C23,366,Rented,Individual,42,42,No,X3,1.0,3.0,21,9030.0,0
C2,1263,Owned,Individual,55,55,No,X2,9.0,3.0,11,16604.0,1
C10,648,Rented,Individual,22,22,No,X1,,,21,8052.0,1
C11,1454,Rented,Individual,30,30,No,X3,4.0,3.0,20,7068.0,1
C10,120,Rented,Individual,39,39,No,,1.0,1.0,19,13820.0,1
C4,343,Rented,Individual,22,22,No,X3,2.0,4.0,22,10368.0,0
C8,4153,Owned,Individual,50,50,No,X4,9.0,3.0,22,13200.0,1
C4,1534,Owned,Individual,25,25,No,X2,1.0,3.0,10,5216.0,0
C4,4112,Owned,Joint,75,66,Yes,X1,,,16,30150.4,0
C1,926,Owned,Joint,69,66,Yes,X5,1.0,4.0,16,20193.6,0
C25,3899,Rented,Individual,26,26,No,,,,17,10242.0,1
C1,68,Owned,Individual,67,67,No,,7.0,3.0,8,14136.0,1
C1,1996,Rented,Individual,24,24,No,X3,3.0,3.0,20,10112.0,0
C1,216,Owned,Individual,60,60,No,,,,22,15288.0,0
C1,727,Rented,Joint,29,28,Yes,X3,6.0,3.0,16,15288.0,0
C10,2061,Owned,Joint,56,46,Yes,X2,6.0,3.0,2,30528.0,0
C15,1503,Owned,Individual,21,21,No,,,,21,11712.0,0
C2,2853,Owned,Individual,44,44,No,X4,14+,3.0,21,9920.0,1
C25,2294,Rented,Individual,57,57,No,,4.0,3.0,18,13222.0,1
C13,3200,Rented,Individual,69,69,No,X3,,,13,16650.0,1
C9,103,Rented,Individual,22,22,No,X1,2.0,1.0,15,10336.0,1
C23,1,Rented,Individual,19,19,No,X4,,,18,6800.0,0
C27,3870,Rented,Individual,75,75,No,,2.0,2.0,20,18690.0,1
C27,3745,Owned,Joint,44,25,No,X1,,,20,15513.6,0
C3,1234,Owned,Individual,58,58,No,X2,,,13,15392.0,0
C2,2018,Rented,Individual,52,52,No,X1,14+,4.0,22,20160.0,1
C9,66,Rented,Individual,25,25,No,X1,2.0,3.0,22,5144.0,0
C10,1410,Rented,Individual,24,24,No,X1,4.0,1.0,18,6860.0,0
C1,2420,Rented,Individual,19,19,No,X2,,,22,4290.0,1
C4,360,Rented,Individual,37,37,No,,,,5,14344.0,1
C1,386,Owned,Individual,75,75,No,X2,12.0,3.0,5,21148.0,0
C2,4965,Owned,Individual,38,38,No,,,,22,8064.0,1
C2,1216,Rented,Individual,27,27,No,,,,17,4704.0,0
C18,1178,Rented,Individual,53,53,No,X1,8.0,2.0,19,16152.0,0
C1,1728,Rented,Individual,30,30,No,X4,,,16,6470.0,1
C4,1330,Rented,Individual,26,26,No,X1,,,9,7740.0,0
C2,3969,Owned,Individual,69,69,No,,5.0,4.0,22,15744.0,0
C1,38,Owned,Joint,70,21,No,X1,14+,3.0,8,32208.0,1
C1,217,Owned,Individual,70,70,No,,6.0,3.0,20,19448.0,0
C13,2446,Owned,Individual,26,26,No,X3,,,2,7322.0,1
C22,4515,Owned,Individual,63,63,No,,6.0,3.0,18,15652.0,1
C2,194,Owned,Joint,42,40,Yes,X1,1.0,1.0,22,17488.8,1
C2,14,Owned,Individual,63,63,No,X4,,,17,18090.0,1
C31,5569,Owned,Individual,60,60,No,X5,7.0,4.0,17,15334.0,0
C4,3376,Rented,Individual,59,59,No,X3,4.0,2.0,12,14326.0,0
C1,1321,Owned,Individual,32,32,No,X2,4.0,1.0,18,12520.0,1
C2,2768,Owned,Individual,67,67,No,X4,14+,3.0,18,20416.0,1
C3,3719,Owned,Individual,53,53,No,X6,4.0,3.0,18,13090.0,1
C12,747,Owned,Individual,37,37,No,,11.0,4.0,18,13090.0,1
C4,262,Owned,Joint,73,40,Yes,X2,6.0,3.0,6,27865.6,0
C14,2868,Rented,Individual,44,44,No,X1,,,20,10188.0,0
C6,1181,Rented,Individual,44,44,No,X1,,,19,11502.0,1
C2,286,Owned,Individual,65,65,No,X1,4.0,3.0,3,14832.0,1
C1,590,Owned,Joint,38,35,Yes,,10.0,3.0,18,10920.0,1
C2,1288,Rented,Individual,75,75,No,X4,14+,3.0,3,20670.0,0
C23,185,Rented,Individual,22,22,No,,,,17,6170.0,1
C30,394,Owned,Individual,50,50,No,X1,,,9,16094.0,1
C17,838,Owned,Individual,59,59,No,X2,1.0,3.0,18,15548.0,1
C9,1376,Owned,Individual,61,61,No,X2,,,21,16856.0,0
C1,609,Rented,Individual,52,52,No,X4,,,21,17226.0,0
C4,3310,Owned,Individual,54,54,No,,10.0,4.0,15,13272.0,1
C2,203,Rented,Individual,50,50,No,X2,7.0,3.0,11,15906.0,1
C1,102,Owned,Joint,75,63,Yes,X6,7.0,1.0,19,24654.0,1
C2,74,Rented,Individual,30,30,No,X1,3.0,3.0,3,12114.0,0
C13,2686,Owned,Individual,24,24,No,X1,1.0,3.0,4,3552.0,0
C12,2758,Rented,Individual,28,28,No,X5,,,19,13032.0,0
C10,3652,Rented,Joint,30,29,Yes,X1,5.0,4.0,22,19830.0,0
C13,34,Owned,Individual,26,26,No,,4.0,3.0,21,9584.0,0
C3,41,Rented,Individual,54,54,No,X1,7.0,2.0,18,13662.0,0
C7,2908,Rented,Individual,66,66,No,X2,2.0,1.0,16,15720.0,1
C19,647,Rented,Individual,24,24,No,X1,,,22,10010.0,1
C3,1145,Rented,Individual,20,20,No,,,,12,3888.0,1
C21,5027,Owned,Individual,45,45,No,X2,,,5,10416.0,1
C3,3410,Rented,Joint,63,33,No,X1,13.0,1.0,2,29164.8,0
C12,115,Rented,Individual,41,41,No,X1,,,19,13420.0,1
C3,3560,Rented,Individual,28,28,No,X6,2.0,1.0,8,12564.0,0
C12,138,Rented,Individual,54,54,No,,6.0,3.0,6,12276.0,0
C7,1210,Owned,Joint,49,33,Yes,X4,,,15,13843.2,1
C22,260,Owned,Individual,51,51,No,,9.0,3.0,21,12936.0,0
C2,2496,Owned,Individual,70,70,No,X1,5.0,4.0,21,16978.0,1
C6,1514,Rented,Individual,24,24,No,X3,,,17,5072.0,1
C34,6194,Rented,Individual,32,32,No,X1,2.0,2.0,20,6110.0,1
C1,3794,Owned,Joint,75,73,Yes,X1,,,22,36594.0,1
C1,2950,Owned,Individual,71,71,No,X3,,,18,18540.0,0
C3,409,Owned,Individual,33,33,No,,7.0,1.0,19,7524.0,1
C3,1046,Rented,Individual,24,24,No,X1,,,14,8022.0,1
C1,2217,Owned,Individual,65,65,No,X4,7.0,4.0,22,16268.0,1
C3,1906,Owned,Individual,41,41,No,X4,1.0,2.0,17,8764.0,0
C8,1977,Owned,Individual,42,42,No,,2.0,3.0,2,10836.0,0
C11,1590,Rented,Individual,21,21,No,X2,1.0,2.0,15,3780.0,0
C1,325,Rented,Individual,30,30,No,X2,2.0,3.0,7,8304.0,0
C1,1587,Owned,Individual,27,27,No,X1,6.0,4.0,19,7992.0,0
C26,834,Rented,Individual,70,70,No,,,,16,20520.0,1
C1,572,Owned,Individual,75,75,No,,1.0,2.0,22,23688.0,1
C34,858,Owned,Individual,35,35,No,X1,8.0,1.0,14,11120.0,0
C1,644,Owned,Individual,70,70,No,,14+,1.0,16,16548.0,1
C4,343,Owned,Individual,62,62,No,X2,,,7,14794.0,1
C6,2301,Rented,Individual,56,56,No,X2,1.0,1.0,19,17784.0,1
C13,595,Owned,Individual,50,50,No,,,,19,14904.0,1
C19,334,Owned,Individual,55,55,No,X2,3.0,3.0,12,16520.0,1
C1,2153,Rented,Individual,23,23,No,,,,20,9450.0,1
C1,169,Owned,Individual,60,60,No,X2,1.0,4.0,21,16392.0,1
C1,2716,Rented,Joint,55,49,Yes,X3,,,19,33744.0,1
C3,384,Owned,Joint,75,52,No,X5,7.0,3.0,22,34927.2,0
C10,532,Rented,Individual,36,36,No,X3,,,22,9814.0,1
C2,2844,Owned,Individual,64,64,No,X2,,,11,18432.0,0
C7,196,Rented,Individual,22,22,No,X1,,,16,4188.0,1
C10,2268,Owned,Individual,55,55,No,,2.0,1.0,16,19440.0,1
C1,369,Owned,Joint,73,71,Yes,X2,5.0,4.0,17,28464.0,1
C2,984,Owned,Individual,32,32,No,X2,3.0,3.0,3,6780.0,1
C5,1307,Rented,Individual,25,25,No,X2,2.0,3.0,1,9632.0,0
C1,1781,Rented,Joint,65,60,Yes,X2,5.0,3.0,18,26865.0,0
C6,1132,Rented,Individual,35,35,No,,14+,2.0,20,9776.0,0
C2,302,Owned,Individual,55,55,No,X4,,,21,17160.0,1
C3,911,Rented,Individual,26,26,No,,6.0,4.0,19,7404.0,1
C7,2238,Owned,Individual,57,57,No,X4,,,15,11330.0,1
C36,86,Owned,Joint,40,37,No,X2,6.0,3.0,18,18570.0,1
C19,1190,Owned,Joint,62,55,Yes,X4,8.0,1.0,1,24525.0,0
C2,706,Owned,Individual,31,31,No,X2,2.0,2.0,17,11540.0,0
C15,1158,Rented,Individual,39,39,No,,3.0,1.0,22,8376.0,1
C9,2259,Owned,Joint,47,46,Yes,X1,,,16,20240.0,0
C14,3407,Rented,Individual,44,44,No,,9.0,2.0,10,13024.0,0
C11,804,Owned,Individual,30,30,No,X2,4.0,3.0,18,7476.0,1
C15,2109,Owned,Individual,73,73,No,X4,14+,3.0,21,18930.0,1
C8,4266,Owned,Individual,43,43,No,X1,,,2,8344.0,1
C13,2686,Owned,Individual,44,44,No,X2,,,10,13156.0,1
C26,2081,Rented,Individual,64,64,No,X1,,,22,16416.0,1
C10,1860,Rented,Individual,32,32,No,X4,,,18,12960.0,0
C1,2694,Owned,Individual,52,52,No,X2,5.0,4.0,18,17612.0,1
C2,1725,Rented,Individual,47,47,No,X5,,,13,14660.0,0
C22,378,Owned,Individual,26,26,No,,,,14,8204.0,1
C7,389,Owned,Individual,30,30,No,X3,1.0,3.0,5,8666.0,1
C7,3911,Owned,Joint,41,40,Yes,X5,6.0,2.0,22,20757.0,1
C3,2116,Rented,Individual,62,62,No,,,,18,14630.0,0
C8,3883,Owned,Individual,34,34,No,,2.0,4.0,18,13320.0,0
C22,575,Owned,Individual,59,59,No,X3,8.0,3.0,18,16950.0,0
C4,3672,Rented,Individual,65,65,No,,13.0,2.0,8,14898.0,0
C1,2222,Owned,Individual,61,61,No,X2,,,18,18990.0,1
C24,3998,Owned,Individual,50,50,No,X4,,,1,11066.0,0
C6,1086,Rented,Individual,63,63,No,X3,5.0,2.0,21,19776.0,0
C22,260,Owned,Individual,35,35,No,X4,,,21,13684.0,0
C2,154,Owned,Individual,62,62,No,X2,9.0,4.0,17,13112.0,1
C3,1331,Owned,Individual,43,43,No,,1.0,2.0,2,10386.0,0
C1,1371,Rented,Individual,22,22,No,X4,,,20,6760.0,1
C3,808,Owned,Joint,38,34,Yes,,8.0,3.0,9,15576.0,1
C9,263,Owned,Individual,33,33,No,,2.0,4.0,22,10800.0,1
C1,1809,Owned,Individual,71,71,No,,9.0,1.0,19,21080.0,0
C1,305,Owned,Individual,51,51,No,X2,14.0,3.0,8,14344.0,0
C4,870,Owned,Individual,53,53,No,,2.0,3.0,18,11142.0,0
C2,3002,Rented,Individual,38,38,No,X3,,,16,10332.0,0
C2,1481,Rented,Individual,25,25,No,X1,,,3,7704.0,0
C1,216,Rented,Individual,25,25,No,,,,22,7380.0,0
C19,1947,Rented,Individual,75,75,No,X2,10.0,3.0,16,20992.0,1
C3,1691,Rented,Individual,58,58,No,,9.0,2.0,17,12180.0,0
C11,1205,Rented,Individual,19,19,No,X1,,,1,3996.0,0
C16,3104,Rented,Individual,54,54,No,X1,14+,2.0,1,10960.0,0
C7,2150,Owned,Joint,45,43,Yes,,3.0,3.0,14,14131.2,0
C3,3957,Rented,Individual,24,24,No,X3,,,16,6480.0,0
C2,1451,Rented,Joint,33,32,Yes,X2,,,17,15657.6,0
C12,330,Owned,Individual,35,35,No,X1,,,21,8304.0,1
C2,654,Owned,Joint,64,62,Yes,X2,6.0,4.0,3,31078.4,0
C8,1946,Owned,Joint,70,42,Yes,X4,9.0,3.0,22,28665.0,1
C9,1009,Rented,Individual,42,42,No,X1,,,14,11880.0,0
C2,21,Rented,Individual,21,21,No,X1,,,18,7848.0,0
C2,933,Owned,Individual,52,52,No,X4,,,3,12520.0,1
C10,1687,Owned,Joint,53,20,Yes,,8.0,3.0,18,20416.0,0
C7,1255,Owned,Individual,45,45,No,X2,13.0,1.0,19,10608.0,1
C1,145,Owned,Individual,75,75,No,,1.0,3.0,16,20512.0,0
C7,1697,Owned,Joint,44,16,Yes,X1,3.0,4.0,14,19113.6,1
C1,616,Owned,Individual,52,52,No,X4,,,17,14928.0,1
C24,1075,Rented,Individual,61,61,No,X2,7.0,1.0,12,17580.0,0
C2,4093,Owned,Individual,42,42,No,X1,,,22,9044.0,1
C1,697,Owned,Joint,70,69,Yes,X2,1.0,1.0,16,31698.0,0
C7,2849,Owned,Individual,41,41,No,X1,5.0,1.0,19,16488.0,0
C2,5029,Owned,Individual,73,73,No,X1,7.0,3.0,15,16666.0,1
C8,3063,Owned,Joint,52,50,Yes,X2,11.0,1.0,2,13028.4,0
C4,2562,Owned,Individual,51,51,No,X4,1.0,3.0,5,12300.0,1
C3,55,Rented,Individual,60,60,No,,3.0,2.0,16,14212.0,1
C1,1329,Owned,Individual,34,34,No,X2,,,21,8904.0,1
C4,105,Rented,Individual,20,20,No,X3,,,7,5504.0,0
C1,327,Rented,Individual,26,26,No,X2,,,17,8806.0,0
C9,1442,Rented,Individual,23,23,No,X1,,,17,9184.0,0
C13,991,Owned,Individual,33,33,No,X1,,,17,13200.0,1
C7,2507,Owned,Joint,48,42,Yes,X6,,,15,15923.6,1
C16,904,Owned,Individual,48,48,No,X2,14+,3.0,20,12420.0,0
C1,205,Owned,Individual,48,48,No,X2,6.0,3.0,22,16562.0,1
C19,909,Owned,Joint,64,32,No,X1,5.0,1.0,1,25242.0,0
C2,4105,Owned,Individual,66,66,No,X1,,,21,19920.0,1
C6,2587,Rented,Individual,49,49,No,X3,1.0,1.0,19,11664.0,1
C2,577,Owned,Joint,55,53,Yes,X3,14+,3.0,3,32736.0,1
C5,1240,Rented,Individual,26,26,No,X3,4.0,1.0,20,10368.0,1
C2,2747,Owned,Joint,49,47,Yes,X4,8.0,3.0,14,25272.0,0
C11,547,Rented,Individual,24,24,No,X2,,,19,3780.0,0
C9,587,Owned,Individual,36,36,No,X2,9.0,3.0,21,8862.0,0
C15,1540,Rented,Individual,39,39,No,X2,4.0,1.0,16,10432.0,1
C1,1489,Owned,Individual,47,47,No,X4,6.0,3.0,22,10832.0,0
C13,1532,Owned,Individual,48,48,No,,,,17,9600.0,1
C3,1130,Owned,Individual,70,70,No,X5,14+,3.0,18,19712.0,1
C21,3371,Owned,Individual,47,47,No,X4,2.0,2.0,20,17212.0,1
C3,1090,Rented,Individual,54,54,No,X3,14+,1.0,16,16176.0,1
C9,3543,Rented,Individual,21,21,No,,,,17,5624.0,1
C23,91,Rented,Individual,26,26,No,X6,5.0,3.0,18,4776.0,0
C1,2041,Owned,Individual,65,65,No,,14+,1.0,19,15432.0,1
C12,3338,Rented,Individual,23,23,No,,,,19,8196.0,1
C2,2350,Owned,Individual,45,45,No,X4,10.0,4.0,11,15720.0,0
C1,3980,Rented,Individual,57,57,No,,14.0,1.0,14,13120.0,0
C2,440,Rented,Individual,39,39,No,X4,5.0,1.0,22,11152.0,0
C1,1693,Rented,Individual,52,52,No,X5,,,22,13580.0,1
C1,1329,Rented,Individual,49,49,No,,14+,1.0,12,10112.0,1
C23,375,Owned,Individual,75,75,No,X1,14+,2.0,21,19788.0,0
C2,4057,Rented,Individual,63,63,No,X3,6.0,4.0,22,18760.0,0
C1,169,Rented,Individual,43,43,No,X3,8.0,3.0,21,14880.0,1
C14,1822,Rented,Individual,67,67,No,X6,2.0,3.0,20,13440.0,0
C20,323,Rented,Individual,48,48,No,X1,2.0,1.0,15,13680.0,1
C3,2787,Rented,Individual,24,24,No,X2,4.0,2.0,16,4266.0,1
